"id","pred"
"2013_1251_1299",0.884
"2013_1292_1388",0.794
"2013_1241_1254",0.206
"2013_1129_1247",0.586
"2013_1112_1125",0.144
"2013_1137_1139",0.73
"2013_1143_1424",0.764
"2013_1161_1281",0.238
"2013_1211_1380",0.044
"2013_1217_1307",0.82
"2013_1257_1299",0.098
"2013_1172_1266",0.906
"2013_1272_1388",0.192
"2013_1276_1355",0.076
"2013_1277_1434",0.136
"2013_1329_1332",0.622
"2013_1308_1387",0.84
"2013_1285_1393",0.902
"2013_1103_1433",0.826
"2013_1338_1455",0.862
"2013_1153_1166",0.866
"2013_1107_1181",0.942
"2013_1195_1207",0.782
"2013_1196_1322",0.014
"2013_1160_1228",0.832
"2013_1231_1241",0.248
"2013_1235_1323",0.278
"2013_1242_1443",0.032
"2013_1243_1247",0.296
"2013_1274_1334",0.094
"2013_1278_1417",0.196
"2013_1279_1458",0.172
"2013_1314_1437",0.14
"2013_1233_1326",0.884
"2013_1328_1361",0.83
"2013_1301_1396",0.826
"2013_1112_1217",0.24
"2013_1161_1257",0.852
"2013_1139_1266",0.792
"2013_1276_1433",0.102
"2013_1272_1277",0.67
"2013_1332_1387",0.74
"2013_1143_1393",0.938
"2013_1211_1455",0.102
"2013_1166_1181",0.882
"2013_1195_1361",0.234
"2013_1196_1278",0.068
"2013_1231_1396",0.098
"2013_1242_1314",0.05
"2013_1247_1279",0.268
"2013_1228_1274",0.844
"2013_1235_1326",0.9
"2013_1266_1274",0.268
"2013_1112_1326",0.456
"2013_1231_1393",0.274
"2013_1247_1455",0.856
"2013_1181_1277",0.132
"2013_1195_1196",0.928
"2013_1257_1332",0.032
"2013_1242_1276",0.334
"2013_1266_1393",0.836
"2013_1326_1455",0.2
"2013_1181_1257",0.72
"2013_1196_1276",0.722
"2013_1257_1455",0.046
"2013_1276_1393",0.104
"2013_1257_1276",0.172
"2014_1107_1291",0.238
"2014_1301_1462",0.148
"2014_1142_1411",0.146
"2014_1234_1397",0.53
"2014_1163_1386",0.174
"2014_1173_1326",0.258
"2014_1107_1196",0.848
"2014_1153_1217",0.708
"2014_1257_1264",0.022
"2014_1276_1459",0.462
"2014_1174_1277",0.89
"2014_1295_1328",0.198
"2014_1140_1332",0.538
"2014_1160_1338",0.838
"2014_1308_1361",0.938
"2014_1301_1387",0.834
"2014_1393_1444",0.086
"2014_1113_1400",0.582
"2014_1437_1454",0.102
"2014_1110_1458",NA
"2014_1112_1451",0.104
"2014_1124_1304",0.49
"2014_1166_1418",0.126
"2014_1211_1329",0.144
"2014_1235_1300",0.122
"2014_1184_1242",0.854
"2014_1243_1246",0.654
"2014_1203_1272",0.826
"2014_1181_1273",0.704
"2014_1314_1344",0.18
"2014_1372_1433",0.372
"2014_1307_1390",0.734
"2014_1269_1397",0.844
"2014_1409_1417",0.866
"2014_1157_1438",0.932
"2014_1142_1455",NA
"2014_1163_1437",0.214
"2014_1173_1393",0.79
"2014_1196_1338",0.172
"2014_1257_1387",0.034
"2014_1276_1400",0.172
"2014_1217_1277",0.776
"2014_1295_1361",0.666
"2014_1332_1458",NA
"2014_1112_1211",0.074
"2014_1124_1166",0.208
"2014_1235_1314",0.12
"2014_1246_1455",NA
"2014_1242_1390",0.486
"2014_1273_1397",0.718
"2014_1372_1417",0.406
"2014_1272_1438",0.898
"2014_1112_1361",0.1
"2014_1173_1390",0.424
"2014_1196_1417",0.124
"2014_1124_1458",NA
"2014_1163_1235",0.42
"2014_1246_1257",0.226
"2014_1276_1397",0.34
"2014_1277_1438",0.088
"2014_1173_1196",0.762
"2014_1112_1458",NA
"2014_1163_1277",0.466
"2014_1246_1276",0.186
"2014_1163_1196",0.352
"2014_1246_1458",NA
"2014_1163_1246",0.442
"2015_1214_1264",0.318
"2015_1140_1279",0.512
"2015_1129_1173",0.802
"2015_1316_1352",0.816
"2015_1112_1411",0.018
"2015_1116_1459",0.5
"2015_1139_1400",0.132
"2015_1153_1345",0.244
"2015_1186_1207",0.586
"2015_1124_1209",0.8
"2015_1214_1246",NA
"2015_1261_1301",0.78
"2015_1217_1314",0.844
"2015_1318_1323",0.866
"2015_1326_1433",0.29
"2015_1235_1412",0.704
"2015_1374_1417",0.828
"2015_1372_1428",0.774
"2015_1248_1437",NA
"2015_1279_1462",0.414
"2015_1173_1344",0.214
"2015_1181_1352",0.07
"2015_1211_1295",0.02
"2015_1172_1234",0.77
"2015_1242_1308",0.158
"2015_1257_1414",0.626
"2015_1268_1434",0.212
"2015_1208_1277",0.738
"2015_1320_1461",0.57
"2015_1107_1328",0.838
"2015_1329_1332",0.49
"2015_1361_1385",0.702
"2015_1125_1438",0.926
"2015_1138_1452",0.876
"2015_1231_1455",0.884
"2015_1157_1458",0.886
"2015_1112_1326",0.142
"2015_1153_1246",NA
"2015_1301_1437",0.232
"2015_1116_1314",0.362
"2015_1139_1323",0.528
"2015_1412_1417",0.84
"2015_1207_1428",0.724
"2015_1209_1462",0.56
"2015_1181_1361",0.024
"2015_1211_1234",0.018
"2015_1257_1320",0.258
"2015_1277_1438",0.558
"2015_1173_1328",0.518
"2015_1268_1452",0.896
"2015_1242_1455",0.782
"2015_1332_1458",0.684
"2015_1112_1462",0.052
"2015_1246_1452",NA
"2015_1323_1455",0.126
"2015_1314_1458",0.896
"2015_1181_1428",0.032
"2015_1211_1417",0.046
"2015_1257_1301",0.508
"2015_1277_1328",0.194
"2015_1246_1323",NA
"2015_1112_1458",0.158
"2015_1181_1211",0.18
"2015_1257_1277",0.898
"2015_1181_1277",0.122
"2015_1246_1458",NA
"2015_1181_1458",0.116
"2016_1192_1195",0.798
"2016_1435_1455",0.84
"2016_1221_1380",0.142
"2016_1276_1409",0.148
"2016_1114_1345",0.23
"2016_1139_1403",0.17
"2016_1160_1163",0.83
"2016_1181_1423",0.232
"2016_1211_1371",0.146
"2016_1151_1231",0.8
"2016_1233_1235",0.632
"2016_1122_1242",0.792
"2016_1246_1392",0.142
"2016_1138_1274",0.878
"2016_1195_1314",0.904
"2016_1344_1425",0.19
"2016_1201_1428",0.686
"2016_1214_1438",0.9
"2016_1112_1455",0.436
"2016_1124_1463",0.872
"2016_1143_1218",0.804
"2016_1234_1396",0.184
"2016_1268_1355",0.406
"2016_1277_1292",0.046
"2016_1320_1400",0.092
"2016_1276_1323",0.726
"2016_1167_1328",0.92
"2016_1221_1332",0.864
"2016_1372_1452",0.238
"2016_1153_1386",0.79
"2016_1173_1393",0.852
"2016_1401_1453",0.146
"2016_1333_1433",0.84
"2016_1421_1437",0.934
"2016_1338_1458",0.476
"2016_1451_1462",0.844
"2016_1181_1463",0.486
"2016_1211_1428",0.18
"2016_1231_1246",0.2
"2016_1114_1235",0.736
"2016_1163_1242",0.64
"2016_1274_1455",0.342
"2016_1314_1344",0.036
"2016_1139_1438",0.832
"2016_1218_1268",0.592
"2016_1323_1372",0.164
"2016_1328_1433",0.092
"2016_1332_1386",0.084
"2016_1292_1393",0.89
"2016_1320_1401",0.664
"2016_1234_1437",0.694
"2016_1458_1462",0.27
"2016_1242_1268",0.176
"2016_1328_1401",0.052
"2016_1181_1332",0.776
"2016_1274_1437",0.864
"2016_1231_1314",0.764
"2016_1323_1458",0.122
"2016_1211_1393",0.716
"2016_1235_1438",0.884
"2016_1328_1332",0.104
"2016_1242_1437",0.784
"2016_1314_1323",0.064
"2016_1393_1438",0.278
"2016_1314_1393",0.176
"2016_1328_1437",0.666
"2016_1314_1437",0.806
