"id","pred"
"2013_1103_1107",0.578
"2013_1103_1112",0.364
"2013_1103_1125",0.438
"2013_1103_1129",0.504
"2013_1103_1137",0.36
"2013_1103_1139",0.332
"2013_1103_1143",0.53
"2013_1103_1153",0.476
"2013_1103_1160",0.61
"2013_1103_1161",0.398
"2013_1103_1166",0.324
"2013_1103_1172",0.466
"2013_1103_1181",0.206
"2013_1103_1195",0.51
"2013_1103_1196",0.224
"2013_1103_1207",0.308
"2013_1103_1211",0.228
"2013_1103_1217",0.554
"2013_1103_1228",0.48
"2013_1103_1231",0.256
"2013_1103_1233",0.514
"2013_1103_1235",0.414
"2013_1103_1241",0.504
"2013_1103_1242",0.292
"2013_1103_1243",0.246
"2013_1103_1247",0.45
"2013_1103_1251",0.504
"2013_1103_1254",0.512
"2013_1103_1257",0.192
"2013_1103_1266",0.296
"2013_1103_1272",0.348
"2013_1103_1274",0.262
"2013_1103_1276",0.288
"2013_1103_1277",0.314
"2013_1103_1278",0.586
"2013_1103_1279",0.514
"2013_1103_1281",0.408
"2013_1103_1285",0.51
"2013_1103_1292",0.416
"2013_1103_1299",0.544
"2013_1103_1301",0.394
"2013_1103_1307",0.302
"2013_1103_1308",0.548
"2013_1103_1314",0.436
"2013_1103_1322",0.572
"2013_1103_1323",0.418
"2013_1103_1326",0.262
"2013_1103_1328",0.482
"2013_1103_1329",0.434
"2013_1103_1332",0.462
"2013_1103_1334",0.478
"2013_1103_1338",0.376
"2013_1103_1355",0.47
"2013_1103_1361",0.582
"2013_1103_1380",0.528
"2013_1103_1387",0.306
"2013_1103_1388",0.274
"2013_1103_1393",0.274
"2013_1103_1396",0.514
"2013_1103_1417",0.52
"2013_1103_1424",0.42
"2013_1103_1433",0.174
"2013_1103_1434",0.56
"2013_1103_1437",0.616
"2013_1103_1443",0.592
"2013_1103_1455",0.33
"2013_1103_1458",0.492
"2013_1107_1112",0.288
"2013_1107_1125",0.326
"2013_1107_1129",0.446
"2013_1107_1137",0.272
"2013_1107_1139",0.272
"2013_1107_1143",0.432
"2013_1107_1153",0.39
"2013_1107_1160",0.444
"2013_1107_1161",0.282
"2013_1107_1166",0.224
"2013_1107_1172",0.348
"2013_1107_1181",0.0580000000000001
"2013_1107_1195",0.434
"2013_1107_1196",0.0639999999999999
"2013_1107_1207",0.192
"2013_1107_1211",0.106
"2013_1107_1217",0.472
"2013_1107_1228",0.382
"2013_1107_1231",0.126
"2013_1107_1233",0.488
"2013_1107_1235",0.342
"2013_1107_1241",0.436
"2013_1107_1242",0.132
"2013_1107_1243",0.104
"2013_1107_1247",0.406
"2013_1107_1251",0.388
"2013_1107_1254",0.458
"2013_1107_1257",0.0639999999999999
"2013_1107_1266",0.162
"2013_1107_1272",0.272
"2013_1107_1274",0.12
"2013_1107_1276",0.196
"2013_1107_1277",0.22
"2013_1107_1278",0.358
"2013_1107_1279",0.46
"2013_1107_1281",0.348
"2013_1107_1285",0.452
"2013_1107_1292",0.338
"2013_1107_1299",0.344
"2013_1107_1301",0.336
"2013_1107_1307",0.124
"2013_1107_1308",0.362
"2013_1107_1314",0.424
"2013_1107_1322",0.422
"2013_1107_1323",0.434
"2013_1107_1326",0.082
"2013_1107_1328",0.378
"2013_1107_1329",0.358
"2013_1107_1332",0.334
"2013_1107_1334",0.368
"2013_1107_1338",0.304
"2013_1107_1355",0.414
"2013_1107_1361",0.528
"2013_1107_1380",0.426
"2013_1107_1387",0.134
